caldt,vwretd,vwretx,ewretd,ewretx
20060428,0.012064,0.01085,0.010538,0.009691
20060531,-0.028319,-0.030519,-0.028304,-0.029964
20060630,0.001587,0.000348,-0.00196,-0.00327
20060731,0.005571,0.00451,-0.014294,-0.015115
20060831,0.02415,0.021679,0.03042,0.028695
20060929,0.026487,0.025296,0.026354,0.025107
20061031,0.032528,0.031421,0.036768,0.035605
20061130,0.018385,0.015887,0.025339,0.023503
20061229,0.013768,0.012294,0.008267,0.006709
20070131,0.015318,0.01435,0.023825,0.023078
20070228,-0.019288,-0.021598,-0.003043,-0.004504
20070330,0.010894,0.009679,0.007339,0.005983
20070430,0.043991,0.042857,0.043294,0.041862
20070531,0.034459,0.032154,0.03255,0.030965
20070629,-0.01662,-0.017829,-0.018468,-0.019701
20070731,-0.031197,-0.032284,-0.045079,-0.045903
20070831,0.015094,0.012859,0.000895,-0.000985
20070928,0.037468,0.035923,0.024308,0.022877
20071031,0.01736,0.016292,0.013447,0.012615
20071130,-0.041382,-0.043581,-0.049793,-0.051698
20071231,-0.006116,-0.007903,-0.016719,-0.018747
20080131,-0.061166,-0.062332,-0.045038,-0.045904
20080229,-0.031419,-0.033693,-0.029501,-0.031274
20080331,-0.0034,-0.005055,-0.012729,-0.014528
20080430,0.048629,0.04749,0.052409,0.051516
20080530,0.012986,0.010708,0.025677,0.023675
20080630,-0.082819,-0.084545,-0.098259,-0.099971
20080731,-0.007306,-0.008738,-0.003641,-0.004894
20080829,0.014955,0.012682,0.028359,0.026313
20080930,-0.085467,-0.087287,-0.103388,-0.105272
20081031,-0.166981,-0.168456,-0.207562,-0.208677
20081128,-0.073512,-0.076514,-0.103635,-0.106579
20081231,0.011995,0.009229,0.044007,0.040642
20090130,-0.082615,-0.084039,-0.078402,-0.07927
20090227,-0.103584,-0.107398,-0.116939,-0.119918
20090331,0.087634,0.084154,0.109438,0.105672
20090430,0.09423,0.09255,0.184857,0.183568
20090529,0.05464,0.051848,0.062487,0.060109
20090630,0.002476,0.00068,-0.004651,-0.006631
20090731,0.074482,0.073101,0.093928,0.093046
20090831,0.034751,0.032255,0.057829,0.055677
20090930,0.036534,0.034978,0.052527,0.050787
20091030,-0.018259,-0.019458,-0.034448,-0.035198
20091130,0.060257,0.057607,0.054502,0.051918
20091231,0.018983,0.017346,0.048224,0.046469
20100129,-0.035751,-0.036781,-0.030955,-0.031612
20100226,0.030426,0.028015,0.043365,0.041277
20100331,0.061014,0.05943,0.071014,0.069189
20100430,0.015977,0.014957,0.028049,0.027344
20100528,-0.080111,-0.082337,-0.073486,-0.075298
20100630,-0.053525,-0.055115,-0.061839,-0.06351
20100730,0.070451,0.06862,0.073614,0.071307
20100831,-0.045434,-0.04784,-0.048286,-0.05024
20100930,0.090383,0.088751,0.104307,0.102651
20101029,0.038726,0.037081,0.035946,0.034516
20101130,-0.000051,-0.002571,0.008205,0.005952
20101231,0.067054,0.065249,0.072134,0.069927
20110131,0.023349,0.022319,0.021935,0.021193
20110228,0.032508,0.030251,0.041109,0.039253
20110331,0.000625,-0.000867,0.009007,0.00743
20110429,0.029441,0.028358,0.031626,0.030817
20110531,-0.011313,-0.013573,-0.005579,-0.007504
20110630,-0.016545,-0.018106,-0.019098,-0.020726
20110729,-0.019828,-0.020982,-0.035333,-0.036115
20110831,-0.054322,-0.056734,-0.063472,-0.065472
20110930,-0.070238,-0.071739,-0.090694,-0.092357
20111031,0.109023,0.107563,0.13445,0.133462
20111130,-0.002727,-0.005552,-0.006582,-0.00909
20111230,0.009427,0.007613,0.001153,-0.000869
20120131,0.045206,0.044003,0.056398,0.055587
20120229,0.04334,0.040744,0.041965,0.039871
20120330,0.032866,0.031282,0.023131,0.02127
20120430,-0.006034,-0.007237,-0.007804,-0.008686
20120531,-0.05979,-0.062433,-0.070752,-0.072967
20120629,0.041465,0.039888,0.038297,0.036476
20120731,0.014363,0.013096,0.002866,0.001957
20120831,0.022744,0.019938,0.03079,0.028391
20120928,0.025079,0.023503,0.024078,0.022292
20121031,-0.017849,-0.019242,-0.007218,-0.008462
20121130,0.00519,0.002151,0.013,0.010162
20121231,0.008194,0.005583,0.024159,0.021088
20130131,0.052243,0.050903,0.06552,0.064709
20130228,0.013211,0.01072,0.012042,0.010076
20130328,0.037507,0.035945,0.042986,0.041047
20130430,0.019777,0.018636,0.015874,0.015097
20130531,0.022896,0.02023,0.028083,0.025984
20130628,-0.013664,-0.015329,-0.01076,-0.01275
20130731,0.050719,0.049331,0.055247,0.054336
20130830,-0.029336,-0.031772,-0.027939,-0.029965
20130930,0.031707,0.030127,0.04099,0.039154
20131031,0.046313,0.044995,0.042743,0.041754
20131129,0.030811,0.028407,0.023841,0.021861
20131231,0.02581,0.024052,0.029202,0.027174
20140131,-0.034776,-0.035844,-0.030214,-0.031049
20140228,0.045587,0.043038,0.054127,0.052007
20140331,0.008068,0.006545,0.007361,0.005483
20140430,0.006477,0.005329,0.003525,0.002676
20140530,0.023142,0.020722,0.022842,0.020839
20140630,0.020736,0.019145,0.028252,0.026404
20140731,-0.014274,-0.015582,-0.02279,-0.023728
20140829,0.039593,0.037275,0.042378,0.040379
20140930,-0.013867,-0.01541,-0.025746,-0.027661
20141031,0.024587,0.023411,0.030985,0.030032
20141128,0.028012,0.025552,0.024561,0.022099
20141231,-0.002489,-0.00427,0.003412,0.001396
20150130,-0.029523,-0.030564,-0.028266,-0.028994
20150227,0.056927,0.054236,0.058769,0.056474
20150331,-0.015044,-0.016684,-0.008174,-0.010105
20150430,0.008673,0.007573,0.003371,0.002462
20150529,0.012649,0.01028,0.009143,0.007114
20150630,-0.019504,-0.021187,-0.022654,-0.024496
20150731,0.021611,0.020411,0.009263,0.008392
20150831,-0.059946,-0.062282,-0.052903,-0.054857
20150930,-0.024533,-0.026248,-0.033494,-0.035556
20151030,0.083284,0.08188,0.073199,0.071983
20151130,0.003317,0.000771,0.002952,0.000438
20151231,-0.015183,-0.017016,-0.025555,-0.027655
