firm_id	datadate	ROA	sic2
10104	31may2013	.173862	73
10104	31may2014	.1651576	73
10104	31may2015	.1292661	73
10107	30jun1990	.2517522	73
10107	30jun1991	.3393039	73
10107	30jun1992	.3435653	73
10107	30jun1993	.2822602	73
10107	30jun1994	.2970352	73
10107	30jun1995	.2760055	73
10107	30jun1996	.3684732	73
10107	30jun1997	.3259192	73
10107	30jun1998	.3077336	73
10107	30jun1999	.2699429	73
10107	30jun2000	.2677085	73
10107	30jun2001	.2265049	73
10107	30jun2002	.2144842	73
10107	30jun2003	.1985271	73
10107	30jun2004	.1583089	73
10107	30jun2005	.2344842	73
10107	30jun2006	.2069629	73
10107	30jun2007	.2817115	73
10107	30jun2008	.2968967	73
10107	30jun2009	.2444151	73
10107	30jun2010	.2795513	73
10107	30jun2011	.2483257	73
10107	30jun2012	.2607878	73
10107	30jun2013	.2024349	73
10107	30jun2014	.1869721	73
10108	31dec1990	.1766941	73
10108	31dec1991	.1463668	73
10108	31dec1992	.1708299	73
10108	31dec1993	.1443936	73
10108	31dec1994	.1848087	73
10108	31dec1995	.1552591	73
10108	31dec1996	.1974996	73
10108	31dec1997	.1927273	73
10108	31dec1998	.2113146	73
10108	31dec1999	.1682032	73
10108	31dec2000	.176281	73
10108	31dec2001	.1641053	73
10108	31dec2002	.2382898	73
10108	31dec2003	.1612292	73
10108	31dec2004	.1511997	73
10114	31aug1990	.1950094	73
10114	31aug1991	-.0427733	73
10114	31aug1992	-.0276593	73
10114	31aug1993	.015863	73
10114	31aug1994	.086585	73
10114	31aug1995	-.0160228	73
10114	31aug1998	.1455236	73
10119	31dec1990	.1462228	63
10119	31dec1991	.1084851	63
10119	31dec1992	.0889748	63
10119	31dec1993	.0847334	63
10119	31dec1994	-.3553838	63
10119	31dec1995	-.0961193	63
10119	31dec1996	-.0186609	63
10119	31dec1997	.0469984	63
10119	31dec1998	.0550411	63
10119	31dec1999	.021364	63
10119	31dec2000	.042189	63
10119	31dec2001	.038856	63
10119	31dec2002	.051898	63
10119	31dec2003	.1079417	63
10119	31dec2004	.1090782	63
10119	31dec2005	.0834593	63
10119	31dec2006	.0595738	63
10120	30sep1990	-.0393754	62
10120	30sep1991	.0710813	62
10120	30sep1992	.0066944	62
10120	30sep1993	.060092	62
10125	31mar1990	.1591409	57
10126	31dec1990		
10126	31dec1991		
10126	31dec1992		
10126	31dec1993		
10126	31dec1994		
10126	31dec1995		
10126	31dec1996		
10126	31dec1997		
10126	31dec1998		
10126	31dec1999		
10130	31mar1990		
10136	31oct1990	.0092581	33
10137	31dec1990	.073755	49
10137	31dec1991	.0831758	49
10137	31dec1992	.0808421	49
10137	31dec1993	.0768667	49
10137	31dec1994	.0691823	49
10137	31dec1995	.0742069	49
10137	31dec1996	.0892831	49
10137	31dec1997	.0719296	49
10137	31dec1998	.0876112	49
10137	31dec1999	.0902248	49
10137	31dec2000	.0692758	49
10137	31dec2001	.0299509	49
10137	31dec2002	.0306652	49
10137	31dec2003	.0363812	49
10137	31dec2004	.0560202	49
10137	31dec2005	.0567976	49
10137	31dec2006	.0892264	49
10137	31dec2007	.0964064	49
10137	31dec2008	.079679	49
10137	31dec2009	.0689959	49
10138	31dec1990	.2006142	62
10138	31dec1991	.1911946	62
10138	31dec1992	.2188992	62
10138	31dec1993	.1453796	62
10138	31dec1994	.3735645	62
10138	31dec1995	.2785109	62
10138	31dec1996	.3098297	62
10138	31dec1997	.3171033	62
10138	31dec1998	.2948214	62
10138	31dec1999	.3074659	62
10138	31dec2000	.221014	62
10138	31dec2001	.2211185	62
10138	31dec2002	.1965058	62
10138	31dec2003	.1920079	62
10138	31dec2004	.1940456	62
10138	31dec2005	.2334868	62
10138	31dec2006	.2145156	62
10138	31dec2007	.2385673	62
10138	31dec2008	.2631056	62
10138	31dec2009	.166838	62
10138	31dec2010	.2012081	62
10138	31dec2011	.251545	62
10138	31dec2012	.2148092	62
10138	31dec2013	.245018	62
10138	31dec2014	.2287754	62
10140	31dec1990	.1138645	26
10140	31dec1991	.1892263	26
10140	31dec1992	.1520516	26
10141	30jun1990	.2089163	59
10143	30sep1990	-.0965154	28
10143	30sep1999	.0081648	28
10143	30sep2000	-.0673108	28
10143	30sep2001	.0170208	28
10143	30sep2002	-.1598652	28
10143	30sep2003	-.2498453	28
10143	30sep2004	-.3734463	28
10143	31dec2005	-.1084649	28
10143	31dec2006	.0819584	28
10143	31dec2007	.135766	28
10143	31dec2008	.1271075	28
10145	31dec1990	.0958301	37
10145	31dec1991	.0722404	37
10145	31dec1992	.0993864	37
10145	31dec1993	.1089667	37
10145	31dec1994	.0921297	37
10145	31dec1995	.0975531	37
10145	31dec1996	.0932263	37
10145	31dec1997	.0952798	37
10145	31dec1998	.0767995	37
10145	31dec1999	.1009053	37
10145	31dec2000	.079007	37
10145	31dec2001	.0823908	37
10145	31dec2002	.0863602	37
10145	31dec2003	.0749387	37
10145	31dec2004	.0725324	37
10145	31dec2005	.0756178	37
10145	31dec2006	.1037782	37
10145	31dec2007	.1156929	37
10145	31dec2008	.1068188	37
10145	31dec2009	.1095989	37
10145	31dec2010	.1110906	37
10145	31dec2011	.0711666	38
10145	31dec2012	.0840322	38
10145	31dec2013	.095411	38
10145	31dec2014	.1105366	38
10147	31dec1990	.1974488	35
10147	31dec1991	-.0273371	35
10147	31dec1992	.0702359	35
10147	31dec1993	.0578801	35
10147	31dec1994	.0587522	35
10147	31dec1995	.0987427	35
10147	31dec1996	.2107544	35
10147	31dec1997	.145274	35
10147	31dec1998	.1871857	35
10147	31dec1999	.1912143	35
10147	31dec2000	.1983993	35
10147	31dec2001	.1649462	35
10147	31dec2002	.1507473	35
10147	31dec2003	.1079433	35
10147	31dec2004	.1363099	35
10147	31dec2005	.1319979	35
10147	31dec2006	.1152858	35
10147	31dec2007	.1403029	35
10147	31dec2008	.1493257	35
10147	31dec2009	.1243616	35
10147	31dec2010	.1475303	35
10147	31dec2011	.165425	35
10147	31dec2012	.1645032	35
10147	31dec2013	.1509957	35
10147	31dec2014	.1421597	35
10149	31mar1990		
10154	28feb1990	.0960746	38
10157	30sep1990		
10161	31dec1990	.1085954	33
10161	31dec1991	.0669229	33
10161	31dec1992	.0380508	33
10163	31dec1991	.1654093	38
10163	31dec1992	.1578977	38
10163	31dec1993	.1507347	38
10163	31dec1994	.1004802	38
10178	31jan1990	.078815	27
10178	31jan1991	.0025383	27
10178	31jan1992	.0083767	27
10178	31jan1993	-.1409774	27
10178	31jan1994	-.0286231	27
10179	30nov1990		
10180	31dec2010	.1105331	28
10180	31dec2011	.074893	28
10180	31dec2012	.0710132	28
10180	31dec2013	.132759	28
10180	31dec2014	.0162137	28
10182	31jan1990	-.1951997	50
10182	31jan1991	.0380834	50
10182	31jan1992	-.0883697	50
10182	31jan1993	-.1323003	50
10182	31jan1994	-.202589	50
10182	31jan1995	-.1246053	50
10182	31jan1996	.0452869	50
10182	31jan1997	-.1220169	50
10182	31jan1998	-.0577926	50
10182	31jan1999	.0113124	50
10182	31jan2000	-.0010371	50
10182	31jan2001	-.0215327	50
10182	31jan2002	.2823993	50
10182	31jan2003	.0385001	50
10182	31jan2004	.0727549	50
10182	31jan2005	.0234645	50
10182	31jan2006	.0584473	50
10182	31jan2007	-.0029737	50
10182	31jan2008	.0684594	50
10182	31jan2009	.0556974	50
10182	31jan2010	.0921589	50
10182	31jan2011	.0160047	50
10182	31jan2012	.0870139	50
10182	31jan2013	.0176773	50
10182	31jan2014	.0528822	50
10182	31jan2015	.0194487	50
10185	31jan1990	-.0051729	27
10192	31dec1991	.2256062	42
10195	31dec1990	.0909793	48
10199	31jul1990	.0879702	59
10199	31jul1991	.0975506	59
10199	31jul1992	.1123524	59
10199	31jul1993	.151332	59
10199	31jul1994	.0599589	59
10199	31jul1995	.1076466	59
10199	31jul1996	.1000384	59
10199	31jul1997	.098642	59
10200	31mar1990	-.011993	28
10200	31mar1991	-.1535991	28
10211	31dec1990		
10211	31dec1994		
10211	31dec1995		
10211	31dec1996		
10211	31dec2000		
10211	31dec2001		
10211	31dec2002		
10211	31dec2003		
10211	31dec2004	.0431929	60
10213	31dec1995	.073777	63
10220	31dec2010	.0769467	35
10220	31dec2011	.0622388	35
10220	31dec2012	.065107	35
10220	31dec2013	.052847	35
10220	31dec2014	.0262256	35
10222	31jan1990	.1588085	57
10225	31dec1990	.0781702	21
10225	31dec1991	.0861897	21
10225	31dec1992	.0719775	21
10225	31dec1993	.0592203	21
10225	31dec1994	.1055909	21
10225	31dec1995	.0737545	21
10225	31dec1996	.0499148	21
10225	31dec1997	.2518113	34
10225	31dec1998	.0549207	34
10225	31dec1999	.0761091	34
10225	31dec2000	.0819556	34
10225	31dec2001	.121319	34
10225	31dec2002	.1351723	34
10225	31dec2003	.1062069	34
10225	31dec2004	.100449	34
10225	31dec2005	.0608037	34
10225	31dec2006	.0669948	34
10225	31dec2007	.0691629	34
10225	31dec2008	.0676155	34
10225	31dec2009	.0700289	34
10225	31dec2010	.0607954	34
10225	31dec2011	.0606663	20
10225	31dec2012	.0437889	20
10235	30sep1990	.3415617	73
10236	31jan1990	.0166971	56
10238	31dec2001		
10243	31mar1990		
10247	31jan1990	-.0492144	56
10248	30apr1990	.0600172	30
10252	31dec2007	.013593	60
10252	31dec2014	.0133135	60
10258	30apr1990	-.0477506	28
10258	31dec2012	-.3965398	28
10258	31dec2013	-.1949582	28
10258	31dec2014	-.4094003	28
10259	31jan1990	.2296791	35
10259	31jan2007	.1116135	36
10259	31jan2008	.1060306	36
10272	31dec1996	.0819458	36
10272	31dec1997	.1841937	36
10272	31dec1998	.2057106	36
10272	31dec1999	.0775263	36
10272	31dec2000	.1082386	36
10272	31dec2001	.2009954	36
10272	31dec2002	.0920479	36
10272	31dec2003	.0444081	36
10272	31dec2004	.0270686	36
10272	31dec2005	.0804181	36
10272	31dec2006	.0116914	36
10272	31dec2007	.0386125	36
10272	31dec2008	.1241346	36
10272	31dec2009	.0630941	36
10272	31dec2010	.0271616	36
10278	31dec1990	.0440593	49
10278	31dec1991	.0337328	49
10278	31dec1992	.0346495	49
10278	31dec1993	.0402491	49
10278	31dec1994	.0534597	49
10278	31dec1995	.0736987	49
10278	31dec1996	.0873971	49
10279	30nov1990	-.1007799	28
10281	31may1990	.1613051	48
10282	31jan1990	-.0489175	53
10290	31dec1990		
10290	31dec1991		
10290	31dec1992		
10290	31dec1993	.0479783	63
10290	31dec1994	.0461545	63
10290	31dec1995	.0649281	63
10290	31dec1996	.1275591	63
10290	31dec1997	.0498608	63
10290	31dec1998	.0423149	63
10290	31dec1999	.0420107	63
10290	31dec2000	.0017983	63
10290	31dec2001	.022387	63
10290	31dec2002	.0489577	63
10290	31dec2004	.0425619	63
10290	31dec2005	.0568254	63
10290	31dec2006	.0555219	63
10290	31dec2007	.0558272	63
10290	31dec2008	.0624432	63
10290	31dec2009	.031929	63
10290	31dec2010	.0299674	63
10299	30jun1990	.143087	36
10299	30jun1991	.1819582	36
10299	30jun1992	.1801826	36
10299	30jun1993	.2157238	36
10299	30jun1994	.2328623	36
10299	30jun1995	.2826477	36
10299	30jun1996	.3107368	36
10299	30jun1997	.2220257	36
10299	30jun1998	.2990966	36
10299	30jun1999	.2678644	36
10299	30jun2000	.2934651	36
10299	30jun2001	.2774137	36
10299	30jun2002	.1293169	36
10299	30jun2003	.1381865	36
10299	30jun2004	.2192975	36
10299	30jun2005	.2155151	36
10299	30jun2006	.2133092	36
10299	30jun2007	.3921387	36
10299	30jun2008	.3348271	36
10299	30jun2009	.2930633	36
10299	30jun2010	.3095942	36
10299	30jun2011	.4113223	36
10299	30jun2012	.3053475	36
10299	30jun2013	.2687523	36
10299	30jun2014	.360253	36
10302	31dec1990	.1726498	36
10302	31dec1991	.177281	36
10302	31dec1992	.1051001	36
10302	31dec1993	.2023496	36
10302	31dec1994	.2198097	36
10302	31dec1995	.2535179	36
10302	31dec1996	.1413329	36
10302	31dec1997	.0857812	36
10302	31dec1998	.1320999	36
10302	31dec1999	.1483149	36
10302	31dec2000	.2242888	36
10302	31dec2001	.050438	36
10302	31dec2002	.014302	36
10302	31dec2003	.063255	36
10302	31dec2004	.0990423	36
10302	31dec2005	.0477173	36
10302	31dec2006	.0599287	36
10302	31dec2007	.0344822	36
10302	31dec2008	.233595	36
10302	31dec2009	.0978654	36
10302	31dec2010	.2449159	36
10302	31dec2011	.3503413	36
10302	31dec2012	.1623284	36
10302	31dec2013	.0882278	36
10302	31dec2014	.1390268	36
10304	31dec1996		60
10304	31dec1997		60
10304	31dec1998		60
10304	31dec1999		60
10304	31dec2000		60
10304	31dec2001		60
